The image file, 16825064445_a3b7876d97_b.jpg, was processed into ../data/boxFilter/16825064445_a3b7876d97_b_boxFilter.jpg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.01.tiff, was processed into ../data/boxFilter/2.1.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.02.tiff, was processed into ../data/boxFilter/2.1.02_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.03.tiff, was processed into ../data/boxFilter/2.1.03_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.04.tiff, was processed into ../data/boxFilter/2.1.04_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.05.tiff, was processed into ../data/boxFilter/2.1.05_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.06.tiff, was processed into ../data/boxFilter/2.1.06_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.07.tiff, was processed into ../data/boxFilter/2.1.07_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.08.tiff, was processed into ../data/boxFilter/2.1.08_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.09.tiff, was processed into ../data/boxFilter/2.1.09_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.10.tiff, was processed into ../data/boxFilter/2.1.10_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.11.tiff, was processed into ../data/boxFilter/2.1.11_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.12.tiff, was processed into ../data/boxFilter/2.1.12_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.01.tiff, was processed into ../data/boxFilter/2.2.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.02.tiff, was processed into ../data/boxFilter/2.2.02_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.03.tiff, was processed into ../data/boxFilter/2.2.03_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.04.tiff, was processed into ../data/boxFilter/2.2.04_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.05.tiff, was processed into ../data/boxFilter/2.2.05_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.06.tiff, was processed into ../data/boxFilter/2.2.06_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.07.tiff, was processed into ../data/boxFilter/2.2.07_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.08.tiff, was processed into ../data/boxFilter/2.2.08_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.09.tiff, was processed into ../data/boxFilter/2.2.09_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.10.tiff, was processed into ../data/boxFilter/2.2.10_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.11.tiff, was processed into ../data/boxFilter/2.2.11_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.12.tiff, was processed into ../data/boxFilter/2.2.12_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.13.tiff, was processed into ../data/boxFilter/2.2.13_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.14.tiff, was processed into ../data/boxFilter/2.2.14_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.15.tiff, was processed into ../data/boxFilter/2.2.15_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.16.tiff, was processed into ../data/boxFilter/2.2.16_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.17.tiff, was processed into ../data/boxFilter/2.2.17_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.18.tiff, was processed into ../data/boxFilter/2.2.18_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.19.tiff, was processed into ../data/boxFilter/2.2.19_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.20.tiff, was processed into ../data/boxFilter/2.2.20_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.21.tiff, was processed into ../data/boxFilter/2.2.21_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.22.tiff, was processed into ../data/boxFilter/2.2.22_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.23.tiff, was processed into ../data/boxFilter/2.2.23_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.24.tiff, was processed into ../data/boxFilter/2.2.24_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 3.2.25.tiff, was processed into ../data/boxFilter/3.2.25_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.01.tiff, was processed into ../data/boxFilter/4.1.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.02.tiff, was processed into ../data/boxFilter/4.1.02_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.03.tiff, was processed into ../data/boxFilter/4.1.03_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.04.tiff, was processed into ../data/boxFilter/4.1.04_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.05.tiff, was processed into ../data/boxFilter/4.1.05_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.06.tiff, was processed into ../data/boxFilter/4.1.06_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.07.tiff, was processed into ../data/boxFilter/4.1.07_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.1.08.tiff, was processed into ../data/boxFilter/4.1.08_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.01.tiff, was processed into ../data/boxFilter/4.2.01_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.03.tiff, was processed into ../data/boxFilter/4.2.03_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 4.2.05.tiff, was processed into ../data/boxFilter/4.2.05_boxFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
