The image file, 16825064445_a3b7876d97_b.jpg, was processed into ../data/gaussFilter/16825064445_a3b7876d97_b_gaussFilter.jpg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.01.tiff, was processed into ../data/gaussFilter/2.1.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.02.tiff, was processed into ../data/gaussFilter/2.1.02_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.03.tiff, was processed into ../data/gaussFilter/2.1.03_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.04.tiff, was processed into ../data/gaussFilter/2.1.04_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.05.tiff, was processed into ../data/gaussFilter/2.1.05_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.06.tiff, was processed into ../data/gaussFilter/2.1.06_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.07.tiff, was processed into ../data/gaussFilter/2.1.07_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.08.tiff, was processed into ../data/gaussFilter/2.1.08_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.09.tiff, was processed into ../data/gaussFilter/2.1.09_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.10.tiff, was processed into ../data/gaussFilter/2.1.10_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.11.tiff, was processed into ../data/gaussFilter/2.1.11_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.1.12.tiff, was processed into ../data/gaussFilter/2.1.12_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.01.tiff, was processed into ../data/gaussFilter/2.2.01_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.02.tiff, was processed into ../data/gaussFilter/2.2.02_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.03.tiff, was processed into ../data/gaussFilter/2.2.03_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.04.tiff, was processed into ../data/gaussFilter/2.2.04_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.05.tiff, was processed into ../data/gaussFilter/2.2.05_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.06.tiff, was processed into ../data/gaussFilter/2.2.06_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.07.tiff, was processed into ../data/gaussFilter/2.2.07_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.08.tiff, was processed into ../data/gaussFilter/2.2.08_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.09.tiff, was processed into ../data/gaussFilter/2.2.09_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.10.tiff, was processed into ../data/gaussFilter/2.2.10_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 2.2.11.tiff, was processed into ../data/gaussFilter/2.2.11_gaussFilter.tiff, Mask (25,25), Offset (0,0), Anchor (2,2)
