The image file, 16825064445_a3b7876d97_b.jpg, was processed into ../data/boxFilter/16825064445_a3b7876d97_b_boxFilter.jpg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, building1.png, was processed into ../data/boxFilter/building1_boxFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.bmp, was processed into ../data/boxFilter/grey-sloth_boxFilter.bmp, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.pgm, was processed into ../data/boxFilter/grey-sloth_boxFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.png, was processed into ../data/boxFilter/grey-sloth_boxFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, Lena.pgm, was processed into ../data/boxFilter/Lena_boxFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, sloth.pgm, was processed into ../data/boxFilter/sloth_boxFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, sloth.png, was processed into ../data/boxFilter/sloth_boxFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, th.jpeg, was processed into ../data/boxFilter/th_boxFilter.jpeg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, 16825064445_a3b7876d97_b.jpg, was processed into ../data/gaussFilter/16825064445_a3b7876d97_b_gaussFilter.jpg, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, building1.png, was processed into ../data/gaussFilter/building1_gaussFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.bmp, was processed into ../data/gaussFilter/grey-sloth_gaussFilter.bmp, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.pgm, was processed into ../data/gaussFilter/grey-sloth_gaussFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, grey-sloth.png, was processed into ../data/gaussFilter/grey-sloth_gaussFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, Lena.pgm, was processed into ../data/gaussFilter/Lena_gaussFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, sloth.pgm, was processed into ../data/gaussFilter/sloth_gaussFilter.pgm, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, sloth.png, was processed into ../data/gaussFilter/sloth_gaussFilter.png, Mask (25,25), Offset (0,0), Anchor (2,2)
The image file, th.jpeg, was processed into ../data/gaussFilter/th_gaussFilter.jpeg, Mask (25,25), Offset (0,0), Anchor (2,2)
